Ex#	Source		Hostname				Expiration
0001	Uptime		dsa06core				Never
0002	Uptime		dsa10core				Never
0003	Uptime		dsa11core				Never
0004	Uptime		dsa12core				Never
0005	Uptime		dsa16core				Never
0006	Uptime		dsa17core				Never
0007	Uptime		dsz01aadb				Never
0008	Uptime		dsz01aaops				Never
0009	Uptime		dsz01aqua				Never
0010	Uptime		dsz01authsrv				Never
0011	Uptime		dsz01autodb				Never
0012	Uptime		dsz01biapp				Never
0013	Uptime		dsz01bidb				Never
0014	Uptime		dsz01cvs				Never
0015	Uptime		dsz01ebp				Never
0016	Uptime		dsz01edocs				Never
0017	Uptime		dsz01fimn1				Never
0018	Uptime		dsz01gic				Never
0019	Uptime		dsz01hdportal				Never
0020	Uptime		dsz01issoweb				Never
0021	Uptime		dsz01odsee				Never
0022	Uptime		dsz01ofm				Never
0023	Uptime		dsz01privsvr				Never
0024	Uptime		dsz01rsaaxm				Never
0025	Uptime		dsz01sftpsvr				Never
0026	Uptime		dsz01sharedb				Never
0027	Uptime		dsz01subver				Never
0028	Uptime		dsz01syscvs				Never
0029	Uptime		dsz01tools				Never
0030	Uptime		dsz02axmn1				Never
0031	Uptime		dsz02cvs				Never
0032	Uptime		dsz02fimn1				Never
0033	Uptime		dsz02idmann1				Never
0034	Uptime		dsz02rsawebn1				Never
0035	Uptime		dsz03idman				Never
0036	Uptime		dsz03rsaweb				Never
0037	Uptime		dsz24sftpsvr				Never
0038	Uptime		dsz252ffs				Never
0039	Uptime		dsz252nsr				Never
0040	Uptime		dsz252tfs				Never
0041	Uptime		dsz25fcp_ems				Never
0042	Uptime		dsz25ffs				Never
0043	Uptime		dsz25nsr				Never
0044	Uptime		dsz25tfs				Never
0045	Uptime		dsz26fcplus_n3				Never
0046	Uptime		dsz26ffs				Never
0047	Uptime		dsz26ffs_mock				Never
0048	Uptime		dsz26ffs_sean				Never
0049	Uptime		dsz26nsr				Never
0050	Uptime		dsz26nsr_mock				Never
0051	Uptime		dsz26tfs				Never
0052	Uptime		dsz26tfs_mock				Never
0053	Uptime		dsz26ffs_sean				Never
